RecordType,Company,Number,VendorGroup,Vendor,VendorName,TransactionDate,JCCo,Job,JobDescription,Description,DetailLineCount,TotalOrigCost,TotalOrigTax,RemainingAmount,RemainingTax
PO,1,100004-0010001      ,1,52176,PLATT ELECTRIC SUPPLY INC,,1,100004-001,Testing july 2014,Cable Tray,1,150000,0,150050,0
PO,1,100006-0010001      ,1,50150,ANIXTER INC.,7/8/2014 0:00,1,100006-001,CBRE  FY 15,Stuff for project,1,15000,1290,15000,1290
PO,1,100007-0010001,1,51408,JOHNSON-BARROW,,,,,,,,,,
PO,1,100008-0010001      ,1,54846,NORTHWEST WIND & SOLAR,7/9/2014 0:00,1,100008-001,ABC Margarita Distributing,Solar Panels,1,895,85.03,895,85.03
PO,1,100009-0010001      ,1,52492,SEATTLE SEAHAWKS,7/8/2014 0:00,1,100009-001,Kates Reinerts Iowa State Dormatory Upgrade and Remodel,Snowmobile for Trailer,1,8977,0,8977,0
PO,1,100011-0010001      ,1,51451,KELLER SUPPLY COMPANY,,1,100011-001,Suzanne 140708,Underground Pipe,1,2000,174,2002,174.17
PO,1,100012-0010001      ,1,51372,ACCORD LMS,7/8/2014 0:00,1,100012-001,Sammamish HS,equipment,1,3500,0,3500,0
PO,1,100013-0010001      ,1,51451,KELLER SUPPLY COMPANY,7/8/2014 0:00,1,100013-001,Microsoft Tool Install,pipe for tool 1,1,25000,0,25000,0
PO,1,100013-0010002      ,1,50920,FERGUSON FIRE & FAB #720,7/9/2014 0:00,1,100013-001,Microsoft Tool Install,fittings,1,1000,0,1000,0
PO,1,100014-0010001,1,50919,FERGUSON ENTERPRISES INC,,1,100014-001,RA3 SVT Lab Upgrade - Mechanical,Copper Pipe,2,15500,0,15545,0
PO,1,100014-0010002      ,1,51757,MECHANICAL SYS WEST INC,,1,100014-001,RA3 SVT Lab Upgrade - Mechanical,CRAC Unit,1,35000,0,35000,0
PO,1,100017-0010001      ,1,50775,DORSE & COMPANY INC,,1,100017-001,Seattle Children's Hospital L4 & L5 TI (Test),$100 Bill Mint,1,489,46.46,489,46.46
PO,1,100019-0010001      ,1,51105,GRAINGER INC,7/8/2014 0:00,1,100019-001,Good to Go Phase 1,12v batts,1,50,4.75,50,4.75
PO,1,130100214,1,54089,FERGUSON CONSTRUCTION INC,7/17/2014 0:00,1,,,Stuff for Job,1,500,0,500,0
PO,1,14189001,1,51105,GRAINGER INC,7/8/2014 0:00,1,100019-001,Good to Go Phase 1,12v batts,1,50,4.75,50,4.75
PO,1,14189002,1,51408,JOHNSON-BARROW,,,,,,,,,,
PO,1,14189003,1,51451,KELLER SUPPLY COMPANY,,1,100011-001,Suzanne 140708,Underground Pipe,1,2000,174,2002,174.17
PO,1,14189004,1,50919,FERGUSON ENTERPRISES INC,,1,100014-001,RA3 SVT Lab Upgrade - Mechanical,Copper Pipe,2,15500,0,15545,0
PO,1,14189005,1,51757,MECHANICAL SYS WEST INC,,1,100014-001,RA3 SVT Lab Upgrade - Mechanical,CRAC Unit,1,35000,0,35000,0
PO,1,14189006,1,51451,KELLER SUPPLY COMPANY,7/8/2014 0:00,1,100013-001,Microsoft Tool Install,pipe for tool 1,1,25000,0,25000,0
PO,1,14189007,1,52176,PLATT ELECTRIC SUPPLY INC,,1,100004-001,Testing july 2014,Cable Tray,1,150000,0,150050,0
PO,1,14189008,1,50150,ANIXTER INC.,7/8/2014 0:00,1,100006-001,CBRE  FY 15,Stuff for project,1,15000,1290,15000,1290
PO,1,14189009,1,54846,NORTHWEST WIND & SOLAR,7/9/2014 0:00,1,100008-001,ABC Margarita Distributing,Solar Panels,1,895,85.03,895,85.03
PO,1,14189010,1,50775,DORSE & COMPANY INC,,1,100017-001,Seattle Children's Hospital L4 & L5 TI (Test),$100 Bill Mint,1,489,46.46,489,46.46
PO,1,14189011,1,52492,SEATTLE SEAHAWKS,7/8/2014 0:00,1,100009-001,Kates Reinerts Iowa State Dormatory Upgrade and Remodel,Snowmobile for Trailer,1,8977,0,8977,0
PO,1,14189012,1,51372,ACCORD LMS,7/8/2014 0:00,1,100012-001,Sammamish HS,equipment,1,3500,0,3500,0
PO,1,14191001,1,50920,FERGUSON FIRE & FAB #720,7/9/2014 0:00,1,100013-001,Microsoft Tool Install,fittings,1,1000,0,1000,0
PO,1,14198001,1,54089,FERGUSON CONSTRUCTION INC,7/17/2014 0:00,1,,,Stuff for Job,1,500,0,500,0
PO,20,100005-0010001      ,1,51769,MERRY MAKERS INC,7/8/2014 0:00,20,100005-001,ebay SLC - InfoCentre July 2014 - June 2015,Stuff,1,45,3.08,65,4.45
PO,20,100010-0010001      ,1,50026,CITY OF ABERDEEN,,20,100010-001,CU Boulder - Island Studies Bldg,Dingos,2,200,0,200,0
PO,20,100018-0010001      ,1,55595,ACE HARDWARE #4484,7/11/2014 0:00,20,100018-001,Coors Brewery ESPC 2014,Mash Tin,1,500,16.25,500,16.25
PO,20,100018-0010002      ,1,53371,ATS ROCKY MOUNTAIN,7/8/2014 0:00,20,100018-001,Coors Brewery ESPC 2014,Control panel DDC,1,450,14.63,450,14.63
PO,20,100020-0010001      ,1,52060,OXBLUE CORPORATION,7/8/2014 0:00,20,100020-001,Carrollton Farmers Branch ISD,stuff for the school,1,500,0,500,0
PO,20,100021-0010001      ,1,50749,DEWAARD & BODE INC,7/8/2014 0:00,20,100021-001,Comazzetto Kitchen Remodel,Kitchen Hood,1,350,33.25,350,33.25
PO,20,100022-0010001      ,1,51092,GOURMONDO CATERING,7/8/2014 0:00,20,100022-001,Northview Public Schools Phase 1,Things that I need,1,260,15.6,285.92,17.16
PO,20,100025-0010001      ,1,52760,TEXAS AIRSYSTEMS LLC,7/9/2014 0:00,20,100025-001,Lindsay Garner ISD Sales Pursuit,data loggers,1,250,0,250,0
PO,20,100026-0010001      ,1,55806,TAT'S DELICATESSEN INC,7/8/2014 0:00,20,100026-001,George ISD Sales,Sandwiches for Customer Lunch,2,80,0,80,0
PO,20,10336025,1,50805,ELECTRO INDUST/GAUGE TECH,12/2/2010 0:00,20, 14237-001,UW SMART GRID,EQUIPMENT                     ,1,659225.6,0,0.1,0
PO,20,11021029,1,52918,VERIS INDUSTRIES,1/21/2011 0:00,20, 15136-001,LBNL FOX PROJECT,ELECTRICAL MATERIALS          ,1,12517.81,0,7308.6,0
PO,20,11021030,1,52045,ENVIRONMENTAL CONTROLS,1/21/2011 0:00,20, 15136-001,LBNL FOX PROJECT,ELECTRICAL MATERIALS          ,1,650,0,650,0
PO,20,11021091,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,11040152,1,52918,VERIS INDUSTRIES,2/9/2011 0:00,20, 15136-001,LBNL FOX PROJECT,ELECTRICAL MATERIALS          ,1,3423.52,0,378.15,0
PO,20,11042019,1,52918,VERIS INDUSTRIES,2/11/2011 0:00,20, 15136-001,LBNL FOX PROJECT,ELECTRICAL MATERIALS          ,1,1119.23,0,462.08,0
PO,20,11047100,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,11048087,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,11052015,1,51408,JOHNSON-BARROW,,,,,,,,,,
PO,20,11074045,1,52310,REFRIGERATION SUPPLIES,5/18/2011 0:00,20, 14609-001,TOMMY BAHAMA TI,HVAC MATERIALS                ,1,15.91,0,15.91,0
PO,20,11101102,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,11133018,1,52176,PLATT ELECTRIC SUPPLY INC,5/13/2011 0:00,20, 14237-001,UW SMART GRID,ELECTRICAL MATERIALS          ,1,333.66,0,0.02,0
PO,20,11154083,1,51357,INSIGHT DIRECT USA INC,6/3/2011 0:00,20, 16195-001,DASHBOARDING IT 2011,MISC ITEMS                    ,1,3665,0,0.03,0
PO,20,11229161,1,53011,SUNRISE IDENTITY,,,,,,,,,,
PO,20,11238068,1,53183,WE-LESLIE,,,,,,,,,,
PO,20,11285176,1,52133,PENSKE TRUCK LEASING CO,10/12/2011 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,99.02,0,6.56,0
PO,20,11300138,1,52648,STAR RENTALS,10/27/2011 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,104.25,0,1.07,0
PO,20,11305097,1,52648,STAR RENTALS,11/1/2011 0:00,20, 15317-001,NSD SAS WIND TURBINE,RENTALS                       ,1,220.15,0,17.56,0
PO,20,11319020,1,52648,STAR RENTALS,11/15/2011 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,179.36,0,0.16,0
PO,20,11319110,1,52077,PACIFIC LAMP & SUPPLY CO.,11/15/2011 0:00,20, 14611-000,PSE-SCOPE,MISC ITEMS                    ,1,674.45,0,309.2,0
PO,20,11348069,1,52133,PENSKE TRUCK LEASING CO,12/14/2011 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,120,0,120,0
PO,20,11353179,1,52809,TRADE TOOL & SUPPLY CORP,12/19/2011 0:00,20, 14381-001,DALLAS SD PH 3,RENTALS                       ,1,596.58,0,276,0
PO,20,11354102,1,50646,CULLIGAN WATER LLC,12/20/2011 0:00,20, 14336-001,WSU ESPC PHASE 13.6,RENTALS                       ,1,1199.15,0,134.15,0
PO,20,11356139,1,53124,WE-SCHROCK,,,,,,,,,,
PO,20,11362122,1,52648,STAR RENTALS,12/28/2011 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,358.7,0,179.34,0
PO,20,11363054,1,52648,STAR RENTALS,12/29/2011 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,750.63,0,49.29,0
PO,20,12013124,1,52648,STAR RENTALS,1/13/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,396.66,0,51.72,0
PO,20,12016011,1,52648,STAR RENTALS,1/16/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,810.3,0,164.25,0
PO,20,12032187,1,52648,STAR RENTALS,2/1/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,211.97,0,0.97,0
PO,20,12034120,1,51105,GRAINGER INC,2/3/2012 0:00,20, 14611-000,PSE-SCOPE,MISC ITEMS                    ,1,123.52,0,117.32,0
PO,20,12040045,1,52648,STAR RENTALS,2/9/2012 0:00,20, 14237-001,UW SMART GRID,RENTALS                       ,1,2,0,2,0
PO,20,12040226,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,12055088,1,53104,WE-COLLEY,,,,,,,,,,
PO,20,12060012,1,51639,M & L SUPPLY CO,,,,,,,,,,
PO,20,12067044,1,52460,SCHWEITZER ENG LABS INC,3/7/2012 0:00,20, 14336-001,WSU ESPC PHASE 13.6,EQUIPMENT                     ,1,18390,0,6200,0
PO,20,12069030,1,53106,WE-ESTES,,,,,,,,,,
PO,20,12072156,1,52648,STAR RENTALS,3/12/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,881.47,0,881.47,0
PO,20,12073062,1,52682,STUSSER ELECTRIC COMPANY,3/13/2012 0:00,20, 14614-001,2012 FACILITY BUCKET,MISC ITEMS                    ,1,8820,0,8820,0
PO,20,12086037,1,52648,STAR RENTALS,3/26/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,416.5,0,147.9,0
PO,20,12086100,1,50510,CINTAS CORPORATION #460,3/26/2012 0:00,20, 14616-000,ALEXANDRIA REAL,MISC ITEMS                    ,1,24944.77,0,9490.71,0
PO,20,12087021,1,54802,NALCO COMPANY,3/27/2012 0:00,20, 14403-001,UOFI THERMAL STORAGE,MISC ITEMS                    ,1,3091.61,0,0.48,0
PO,20,12093017,1,51105,GRAINGER INC,4/2/2012 0:00,20, 14611-000,PSE-SCOPE,MISC ITEMS                    ,1,95.13,0,95.13,0
PO,20,12129002,1,52648,STAR RENTALS,5/8/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,308.4,0,45.6,0
PO,20,12135185,1,52823,TRI-FORM POLY INC,5/14/2012 0:00,20, 14338-001,WSU ESPC PH 1.23 IN,EQUIPMENT                     ,1,220446.8,0,22044.91,0
PO,20,12143184,1,52077,PACIFIC LAMP & SUPPLY CO.,5/22/2012 0:00,20, 14611-000,PSE-SCOPE,ELECTRICAL MATERIALS          ,1,125.5,0,0.1,0
PO,20,12153027,1,50295,BILCO COMPANY,6/1/2012 0:00,20, 14428-001,FORT LEWIS COLLEGE,EQUIPMENT                     ,1,3595.11,0,0.3,0
PO,20,12153193,1,52648,STAR RENTALS,6/1/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,607.26,0,0.08,0
PO,20,12166055,1,50399,CPS DISTRIBUTORS INC,6/14/2012 0:00,20, 14426-001,COLORADO SCHOOL OF,EQUIPMENT                     ,1,7582.62,0,0.02,0
PO,20,12184007,1,53060,WILLIAMS SCOTSMAN,,,,,,,,,,
PO,20,12199101,1,53011,SUNRISE IDENTITY,,,,,,,,,,
PO,20,12200180,1,53124,WE-SCHROCK,,,,,,,,,,
PO,20,12209008,1,51357,INSIGHT DIRECT USA INC,7/27/2012 0:00,20, 16196-001,EEM PRODUCT DEV 2012,MISC ITEMS                    ,1,3225.46,0,3225.46,0
PO,20,12215076,1,51682,MARKING SERVICES,,,,,,,,,,
PO,20,12216129,1,52648,STAR RENTALS,8/3/2012 0:00,20, 14237-001,UW SMART GRID,RENTALS                       ,1,97.8,0,0.02,0
PO,20,12222073,1,50399,CPS DISTRIBUTORS INC,8/9/2012 0:00,20, 14427-001,CITY OF BOULDER ESPC,MISC ITEMS                    ,1,184.31,0,70.98,0
