Company,InvoiceNumber,CustGroup,Customer,CustomerName,TransactionDate,InvoiceDescription,DetailLineCount,AmountDue,OriginalAmount,Tax
1,15,1,219735,Weyerhaeuser Co Seatac   ,4/15/2014 0:00,                    ,12,-33966.96,11322.32,982.32
1,293,1,215905,Skanska USA Bldg WA Divis,2/10/2014 0:00,RETENTION BILLING   ,4,-60226.2,0,0
1,792,1,202782,CB Richard Ellis         ,6/25/2014 0:00,                    ,8,-5419.32,-5419.32,-470.16
1,796,1,202782,CB Richard Ellis         ,6/25/2014 0:00,                    ,4,-4414.58,-4414.58,-383
1,801,1,202782,CB Richard Ellis         ,6/25/2014 0:00,                    ,8,-16475.76,-16475.76,-1429.4
1,925,1,210635,MEDALIST MARKETING INC   ,2/4/2014 0:00,                    ,4,5645.76,0,0
1,1011,1,208904,Jones Lang LaSalle       ,2/26/2013 0:00,                    ,4,16595.84,0,0
1,1116,1,204294,Cummins Northwest,,,,,,
1,1314,1,204122,Connecqtive,,,,,,
1,1575,1,201375,Avista Corporation       ,2/20/2013 0:00,                    ,4,-4257.6,0,0
1,1856,1,219433,Julie Drinkward          ,3/14/2014 0:00,                    ,4,-9090.72,0,0
1,2292,1,213133,Pacific Medical Center   ,2/8/2013 0:00,                    ,4,-21024,0,0
1,2642,1,221190,Mobilitie                ,4/1/2014 0:00,APRIL BILLING       ,4,120000,120000,0
20,10008010,1,211216,McKinstry Co.            ,7/1/2014 0:00,JB App# 1,1,2500,2500,0
20,10008014,1,203563,Carroll Construction     ,7/9/2014 0:00,JB App# 1,1,11250,12500,0
20,10008015,1,209500,Kitchen Kaboodle         ,7/9/2014 0:00,JB App# 1,6,4558,5065,0
20,10008021,1,203180,COLORADO SCHOOL FOR THE D,7/9/2014 0:00,JB App# 1,6,232750,245000,0
20,10008024,1,210607,McKinstry Essention Inc  ,7/9/2014 0:00,JB App# 1,3,2820.16,2820.16,0
