Company,InvoiceNumber,CustGroup,Customer,CustomerName,TransactionDate,InvoiceDescription,DetailLineCount,AmountDue,OriginalAmount,Tax
1,15,1,219735,Weyerhaeuser Co Seatac   ,4/15/2014 0:00,                    ,12,-33966.96,11322.32,982.32
1,293,1,215905,Skanska USA Bldg WA Divis,2/10/2014 0:00,RETENTION BILLING   ,4,-60226.2,0,0
1,792,1,202782,CB Richard Ellis         ,6/25/2014 0:00,                    ,8,-5419.32,-5419.32,-470.16
1,796,1,202782,CB Richard Ellis         ,6/25/2014 0:00,                    ,4,-4414.58,-4414.58,-383
1,801,1,202782,CB Richard Ellis         ,6/25/2014 0:00,                    ,8,-16475.76,-16475.76,-1429.4
1,925,1,210635,MEDALIST MARKETING INC   ,2/4/2014 0:00,                    ,4,5645.76,0,0
1,1011,1,208904,Jones Lang LaSalle       ,2/26/2013 0:00,                    ,4,16595.84,0,0
1,1116,1,204294,Cummins Northwest,,,,,,
1,1314,1,204122,Connecqtive,,,,,,
1,1575,1,201375,Avista Corporation       ,2/20/2013 0:00,                    ,4,-4257.6,0,0
1,1856,1,219433,Julie Drinkward          ,3/14/2014 0:00,                    ,4,-9090.72,0,0
1,2292,1,213133,Pacific Medical Center   ,2/8/2013 0:00,                    ,4,-21024,0,0
1,2642,1,221190,Mobilitie                ,4/1/2014 0:00,APRIL BILLING       ,4,120000,120000,0
1,4763,1,219257,Franciscan Health Systems,4/25/2014 0:00,                    ,4,-2534.88,0,0
1,4857,1,203777,Granum Inc               ,3/28/2013 0:00,                    ,8,-760.16,-760.16,-65.96
1,5184,1,204053,Columbia Resource Company,9/28/2012 0:00,                    ,8,1965.52,-1980.48,-153.48
1,5313,1,215545,Hubbard Broadcasting     ,6/16/2014 0:00,                    ,8,14404.68,-4801.56,-416.56
1,6133,1,215905,Skanska USA Bldg WA Divis,2/10/2014 0:00,RETENTION BILLING   ,4,-98305.4,0,0
1,6163,1,214769,SCIDPDA                  ,4/22/2013 0:00,                    ,4,-12885.92,0,0
