"RecordType"|"Company"|"Number"|"VendorGroup"|"Vendor"|"VendorName"|"TransactionDate"|"JCCo"|"Job"|"JobDescription"|"Description"|"DetailLineCount"|"TotalOrigCost"|"TotalOrigTax"|"RemainingAmount"|"RemainingTax"
"PO"|"1"|"1-10036029"|"1"|"51342"|"INFINIT TECH SOLUTIONS"|"2/5/2010 12:00:00 AM"|"1"|" 13732-001"|"I-CTR IT SETUP"|"EQUIPMENT                     "|"1"|"16988.00"|"0.00"|"1473.00"|"0.00"
"PO"|"1"|"1-10092086"|"1"|"51928"|"NET-IG"|"4/2/2010 12:00:00 AM"|"1"|" 13732-001"|"I-CTR IT SETUP"|"MISC ITEMS                    "|"1"|"5500.00"|"0.00"|"125.80"|"0.00"
"PO"|"1"|"1-10208037"|"1"|"51357"|"INSIGHT DIRECT USA INC"|"7/27/2010 12:00:00 AM"|"1"|" 13732-001"|"I-CTR IT SETUP"|"MISC ITEMS                    "|"1"|"10000.00"|"0.00"|"10000.00"|"0.00"
"PO"|"1"|"1-11210043"|"1"|"53339"|"ZESBAUGH INC"|"7/29/2011 12:00:00 AM"|"1"|" 13727-001"|"MCKFM GARAGE"|"MISC ITEMS                    "|"1"|"131.89"|"0.00"|"11.44"|"0.00"
"PO"|"1"|"1-11228172"|"1"|"55615"|"AVANGATE INC"|"8/16/2011 12:00:00 AM"|"1"|" 13698-001"|"IT TIMESHEET MOD"|"MISC ITEMS                    "|"1"|"2400.00"|"0.00"|"2400.00"|"0.00"
"PO"|"1"|"1-11297085"|"1"|"51741"|"MCMASTER-CARR"|"10/24/2011 12:00:00 AM"|"1"|"  1206-001"|"IRIS-PH1 CLOSE OUT"|"SM PRODUCTION MATERIALS       "|"1"|"221.20"|"0.00"|"130.85"|"0.00"
"PO"|"1"|"1-11321023"|"1"|"50815"|"ECONOBOX"|"11/17/2011 12:00:00 AM"|"1"|"  1206-001"|"IRIS-PH1 CLOSE OUT"|"MISC ITEMS                    "|"1"|"553.32"|"0.00"|"72.00"|"0.00"
"PO"|"1"|"1-12051068"|"1"|"51852"|"MICONTROLS INC"|"2/20/2012 12:00:00 AM"|"1"|" 13738-001"|"SHOP LOGISTICS 2011"|"HVAC MATERIALS                "|"1"|"31.06"|"0.00"|"31.06"|"0.00"
"PO"|"1"|"1-12051083"|"1"|"52648"|"STAR RENTALS"|"2/20/2012 12:00:00 AM"|"1"|"  1135-001"|"WSU VET MED RESEARCH"|"RENTALS                       "|"1"|"854.81"|"0.00"|"119.51"|"0.00"
"PO"|"1"|"1-12072111"|"1"|"52648"|"STAR RENTALS"|"3/12/2012 12:00:00 AM"|"1"|" 13738-001"|"SHOP LOGISTICS 2011"|"RENTALS                       "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-12079119"|"1"|"52248"|"PUGET SOUND PIPE & SUPPLY"|"3/19/2012 12:00:00 AM"|"1"|"  1055-001"|"JACKSON FED BLDG"|"PLUMBING MATERIALS            "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-12115039"|"1"|"51194"|"HARRINGTON IND PLASTICS"|"4/24/2012 12:00:00 AM"|"1"|"  1628-001"|"815 MERCER-TI PH2"|"PLUMBING MATERIALS            "|"1"|"121.14"|"0.00"|"34.00"|"0.00"
"PO"|"1"|"1-12144183"|"1"|"52668"|"STONEWAY ELECTRIC SUPPLY"|"5/23/2012 12:00:00 AM"|"1"|" 13738-001"|"SHOP LOGISTICS 2011"|"ELECTRICAL MATERIALS          "|"1"|"116.18"|"0.00"|"101.87"|"0.00"
"PO"|"1"|"1-12158121"|"1"|"52094"|"PACIFIC WELDING LLC"|"6/6/2012 12:00:00 AM"|"1"|"  1056-001"|"UW MED PH 3.1"|"RENTALS                       "|"1"|"6079.44"|"0.00"|"366.81"|"0.00"
"PO"|"1"|"1-12164053"|"1"|"53103"|"WE-CHAPMAN, DAVID"|"6/12/2012 12:00:00 AM"|"1"|"  1644-001"|"BOEING BLD 7-107"|"MISC ITEMS                    "|"1"|"112.60"|"0.00"|"112.60"|"0.00"
"PO"|"1"|"1-12180061"|"1"|"52648"|"STAR RENTALS"|"6/28/2012 12:00:00 AM"|"1"|"  1644-001"|"BOEING BLD 7-107"|"RENTALS                       "|"1"|"419.93"|"0.00"|"16.15"|"0.00"
"PO"|"1"|"1-12180072"|"1"|"51969"|"NORTH COAST ELECTRIC CO"|"6/28/2012 12:00:00 AM"|"1"|"  1644-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"3561.35"|"0.00"|"124.41"|"0.00"
"PO"|"1"|"1-12180109"|"1"|"52730"|"TANDEM PRODUCTS INC"|"6/28/2012 12:00:00 AM"|"1"|"  1637-001"|"PCC-MECH"|"EQUIPMENT                     "|"1"|"5108.03"|"0.00"|"3191.75"|"0.00"
"PO"|"1"|"1-12187046"|"1"|"51115"|"GRAYBAR ELECTRIC"|"7/5/2012 12:00:00 AM"|"1"|"  1644-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"537.30"|"0.00"|"130.30"|"0.00"
"PO"|"1"|"1-12187063"|"1"|"51115"|"GRAYBAR ELECTRIC"|"7/5/2012 12:00:00 AM"|"1"|"  1644-001"|"BOEING BLD 7-107"|"ELECTRICAL MATERIALS          "|"1"|"251.38"|"0.00"|"28.00"|"0.00"
