CustGroup,Customer,CustomerName,TransactionDate,InvoiceDescription,DetailLineCount,AmountDue,OriginalAmount,Tax,CollectedCheckDate,CollectedCheckNumber,CollectedCheckAmount,CollectedImage,Notes
1,201813,BP WEST COAST PRODUCTS LL,41715,                    ,4,11365.1,11365.1,1079.68,41795.67089,7404,11365.1,Images\AR_1_201813_7404.pdf,
1,207662,Hines Global REIT        ,41715,                    ,4,16974,16974,1612.54,41795.67089,6653,16974,Images\AR_1_207662_6653.pdf,
1,218863,Woodinville Fire & Rescue,41718,                    ,4,871,871,74.9,41795.67089,3935,871,Images\AR_1_218863_3935.pdf,
1,210744,MICROSOFT C/O CBRE       ,41495,PO# CBRE#201908     ,4,11855.18,11855.18,1126.24,41795.67089,8738,11855.18,Images\AR_1_210744_8738.pdf,
1,210283,Love Culture             ,41159,                    ,2,8916.51,352.5,33.49,41795.67089,8140,8916.51,Images\AR_1_210283_8140.pdf,
1,219258,Nationwide Security & Bld,41535,                    ,6,5846.58,15799,44.18,41795.67089,1460,5846.58,Images\AR_1_219258_1460.pdf,
1,219008,Zillow                   ,41555,                    ,4,738,738,70.12,41795.67089,1970,738,Images\AR_1_219008_1970.pdf,
1,206834,Gateway Construction     ,41694,FEB BILLING         ,5,37755.06,48364,42.42,41795.67089,1609,37755.06,Images\AR_1_206834_1609.pdf,
1,217587,Unico                    ,40905,DECEMBER BILLING    ,2,821.92,5864,557.08,41795.67089,9063,821.92,Images\AR_1_217587_9063.pdf,
1,210744,MICROSOFT C/O CBRE       ,41614,JULY BILLING        ,4,730.31,5625.65,534.44,41795.67089,4923,730.31,Images\AR_1_210744_4923.pdf,
1,210744,MICROSOFT C/O CBRE       ,41671,AUG-BACK OUT PER KG ,6,5033.81,4169.7,396.11,41795.67089,3336,5033.81,Images\AR_1_210744_3336.pdf,
1,204854,Davis Schueller Inc      ,41534,SEPTEMBER BILLING   ,6,2850.81,14370.82,374.49,41795.67089,392,2850.81,Images\AR_1_204854_392.pdf,
1,210744,MICROSOFT C/O CBRE       ,41516,AUGUST BILLING      ,6,1368.82,1442.5,137.04,41795.67089,5247,1368.82,Images\AR_1_210744_5247.pdf,
1,210744,MICROSOFT C/O CBRE       ,41544,SEPTEMBER BILLING   ,5,610,116080.81,72.2,41795.67089,8947,610,Images\AR_1_210744_8947.pdf,
1,204952,Dewalt Construction & Dev,41563,OCTOBER BILLING     ,3,14109.7,18924.09,703.44,41795.67089,769,14109.7,Images\AR_1_204952_769.pdf,
1,210744,MICROSOFT C/O CBRE       ,41576,OCOTBER BILLING     ,5,1176,676930.54,111.72,41795.67089,1213,1176,Images\AR_1_210744_1213.pdf,
1,210744,MICROSOFT C/O CBRE       ,41595,NOV BILLING         ,4,52027.49,2143.43,203.63,41795.67089,5361,52027.49,Images\AR_1_210744_5361.pdf,
1,210744,MICROSOFT C/O CBRE       ,41641,NOV CREDIT & REBILL ,3,2583.84,2720,211.85,41795.67089,9258,2583.84,Images\AR_1_210744_9258.pdf,
1,210744,MICROSOFT C/O CBRE       ,41594,NOV BILLING         ,3,27838.95,1205.25,161.05,41795.67089,9904,27838.95,Images\AR_1_210744_9904.pdf,
1,210744,MICROSOFT C/O CBRE       ,41639,DECEMBER BILLING    ,5,2750.28,341922.33,294.62,41795.67089,2115,2750.28,Images\AR_1_210744_2115.pdf,
1,210744,MICROSOFT C/O CBRE       ,41726,NOVEMBER BILLING    ,6,13839.16,13839.16,1314.72,41795.67089,5521,13839.16,Images\AR_1_210744_5521.pdf,
1,210744,MICROSOFT C/O CBRE       ,41628,DEC BILLING         ,5,2432,522729.98,231.04,41795.67089,4940,2432,Images\AR_1_210744_4940.pdf,
1,210744,MICROSOFT C/O CBRE       ,41704,CREDIT              ,6,65555.22,326.82,31.04,41795.67089,6119,65555.22,Images\AR_1_210744_6119.pdf,
1,210744,MICROSOFT C/O CBRE       ,41699,JAN BILLING BACKOUT ,4,9317.09,-7492.76,211.85,41795.67089,2435,9317.09,Images\AR_1_210744_2435.pdf,
1,210744,MICROSOFT C/O CBRE       ,41699,JAN BILLING W/TAX   ,6,9352.96,7369.88,700.14,41795.67089,8000,9352.96,Images\AR_1_210744_8000.pdf,
1,210744,MICROSOFT C/O CBRE       ,41667,JAN BILLING         ,5,5934.84,53348.73,722.94,41795.67089,6014,5934.84,Images\AR_1_210744_6014.pdf,
1,215593,Schuchart Corporation    ,41683,FEBRUARY BILLING    ,5,109112.01,109669.1,33.09,41795.67089,771,109112.01,Images\AR_1_215593_771.pdf,
1,215593,Schuchart Corporation    ,41683,FEBRUARY BILLING    ,5,13178.12,19330.29,451.72,41795.67089,6924,13178.12,Images\AR_1_215593_6924.pdf,
1,201291,Aronson Security Group   ,41683,FEBRUARY BILLING    ,8,12136.4,25642.54,69.64,41795.67089,8449,12136.4,Images\AR_1_201291_8449.pdf,
1,206647,GLY Construction         ,41711,MAR BILLING         ,5,28051.74,32478.56,7.66,41795.67089,5507,28051.74,Images\AR_1_206647_5507.pdf,
1,210744,MICROSOFT C/O CBRE       ,41716,MARCH BILLING       ,6,249008.22,280175.8,190,41795.67089,8509,249008.22,Images\AR_1_210744_8509.pdf,
1,210744,MICROSOFT C/O CBRE       ,41719,MARCH BILLING       ,8,19729.84,20974.04,1992.54,41795.67089,4748,19729.84,Images\AR_1_210744_4748.pdf,
1,210744,MICROSOFT C/O CBRE       ,41719,MARCH BILLING       ,4,251310.36,279233.74,26527.2,41795.67089,6080,251310.36,Images\AR_1_210744_6080.pdf,
1,215593,Schuchart Corporation    ,41711,MARCH BILLING       ,5,6227.94,7193.54,49.78,41795.67089,3752,6227.94,Images\AR_1_215593_3752.pdf,
1,215593,Schuchart Corporation    ,41711,MARCH BILLING       ,5,1036.68,1810.08,17.91,41795.67089,6551,1036.68,Images\AR_1_215593_6551.pdf,
1,210744,MICROSOFT C/O CBRE       ,41725,MARCH BILLING       ,6,47515.18,56272.54,208.9,41795.67089,3346,47515.18,Images\AR_1_210744_3346.pdf,
1,210744,MICROSOFT C/O CBRE       ,41727,MARCH BILLING       ,6,53394.52,60758.28,64.28,41795.67089,5313,53394.52,Images\AR_1_210744_5313.pdf,
1,210607,McKinstry Essention Inc  ,41176,SEPTEMBER BILLING   ,5,926.84,20711.84,107.04,41795.67089,1258,926.84,Images\AR_1_210607_1258.pdf,
1,218885,Wunderlich Malec         ,41227,OCT BILLING         ,7,97.87,526648,239.26,41795.67089,7161,97.87,Images\AR_1_218885_7161.pdf,
1,217372,Turner Construction      ,41325,DECEMBER BILLING    ,5,513083.12,70202,294.98,41795.67089,3676,513083.12,Images\AR_1_217372_3676.pdf,
1,215903,Skanska                  ,41330,FEBRUARY BILLING    ,7,97.87,526648,239.26,41795.67089,60,97.87,Images\AR_1_215903_60.pdf,
1,206972,Goodman Networks         ,41358,MARCH BILLING       ,5,3661.83,88214,1792.46,41795.67089,3302,3661.83,Images\AR_1_206972_3302.pdf,
1,217587,Unico                    ,41374,APRIL BILLING       ,4,8476,8476,805.22,41795.67089,8925,8476,Images\AR_1_217587_8925.pdf,
1,202839,CBRE                     ,41523,SEPTEMBER BILLING   ,6,19200.2,22879,2134.31,41795.67089,7316,19200.2,Images\AR_1_202839_7316.pdf,
1,202839,CBRE                     ,41523,SEPTEMBER BILLING   ,4,829.87,2246.08,205.38,41795.67089,6290,829.87,Images\AR_1_202839_6290.pdf,
1,202839,CBRE                     ,41523,SEPTEMBER BILLING   ,6,2617.36,3822.98,359.92,41795.67089,3396,2617.36,Images\AR_1_202839_3396.pdf,
1,215904,Skanska USA Bldg OR Divis,41384,MAR BILLING         ,5,32042,5715.68,75.4,41795.67089,30,32042,Images\AR_1_215904_30.pdf,
1,215903,Skanska                  ,41414,MAY BILLING         ,7,17366.46,730551.23,1653,41795.67089,153,17366.46,Images\AR_1_215903_153.pdf,
1,210607,McKinstry Essention Inc  ,41414,MAY BILLING         ,5,1126.84,6626.84,107.04,41795.67089,4335,1126.84,Images\AR_1_210607_4335.pdf,
1,215904,Skanska USA Bldg OR Divis,41429,JUNE BILLING        ,6,5262.48,374039.3,1155.2,41795.67089,4691,5262.48,Images\AR_1_215904_4691.pdf,
1,210607,McKinstry Essention Inc  ,41445,JUN BILLING         ,5,746,72482,70.88,41795.67089,5022,746,Images\AR_1_210607_5022.pdf,
1,213644,Providence Washington Reg,41453,JUNE BILLING        ,4,48398,48398,3823.44,41795.67089,6124,48398,Images\AR_1_213644_6124.pdf,
1,210607,McKinstry Essention Inc  ,41473,JUL BILLING         ,6,167.54,191113.54,116.8,41795.67089,239,167.54,Images\AR_1_210607_239.pdf,
1,219239,Crown Castle             ,41500,AUG BILLING         ,2,457.65,7975.31,757.65,41795.67089,315,457.65,Images\AR_1_219239_315.pdf,
1,215904,Skanska USA Bldg OR Divis,41502,AUGUST BILLING      ,4,27901.93,174496.85,97.76,41795.67089,5182,27901.93,Images\AR_1_215904_5182.pdf,
1,215903,Skanska                  ,41537,SEPT BILLING        ,5,2976.8,44705.8,282.8,41795.67089,8019,2976.8,Images\AR_1_215903_8019.pdf,
1,210607,McKinstry Essention Inc  ,41542,SEPT BILLING        ,5,291.24,15151.24,25.62,41795.67089,7324,291.24,Images\AR_1_210607_7324.pdf,
1,211389,Microsoft Corporation    ,41571,PO#95955672         ,2,3695.32,13944,1101.58,41795.67089,1780,3695.32,Images\AR_1_211389_1780.pdf,
1,211389,Microsoft Corporation    ,41571,PO#95971035         ,2,2929.97,7427,586.73,41795.67089,1013,2929.97,Images\AR_1_211389_1013.pdf,
1,205838,FAA Western Logistics    ,41569,OCT BILLING         ,4,2163.39,3776,133.19,41795.67089,7235,2163.39,Images\AR_1_205838_7235.pdf,
1,207683,Holder Construction Group,41570,OCTOBER BILLING     ,3,7257.08,105916.67,0.87,41795.67089,1799,7257.08,Images\AR_1_207683_1799.pdf,
1,201291,Aronson Security Group   ,41597,NOVEMBER BILLING    ,4,343041.68,9072,134.9,41795.67089,1609,343041.68,Images\AR_1_201291_1609.pdf,
1,205838,FAA Western Logistics    ,41599,NOV BILLING         ,5,587.21,1349.21,55.37,41795.67089,8788,587.21,Images\AR_1_205838_8788.pdf,
1,215903,Skanska                  ,41598,NOVEMBER BILLING    ,5,1149.51,3913.98,137.84,41795.67089,9901,1149.51,Images\AR_1_215903_9901.pdf,
1,210607,McKinstry Essention Inc  ,41599,NOV BILLING         ,3,6671.3,102720.3,68.43,41795.67089,5502,6671.3,Images\AR_1_210607_5502.pdf,
1,210607,McKinstry Essention Inc  ,41598,NOV BILLING         ,3,8461.73,-101479,49.5,41795.67089,7945,8461.73,Images\AR_1_210607_7945.pdf,
1,207683,Holder Construction Group,41604,NOV BILLING         ,5,87342.46,57449,1.74,41795.67089,8712,87342.46,Images\AR_1_207683_8712.pdf,
1,210607,McKinstry Essention Inc  ,41603,NOV BILLING         ,5,16290.34,25801.74,399.16,41795.67089,3438,16290.34,Images\AR_1_210607_3438.pdf,
1,219536,Stessa Business Park LLC ,41681,FEB BILLING         ,4,111758.92,111758.9,8605.44,41795.67089,891,111758.92,Images\AR_1_219536_891.pdf,
1,219202,Yahoo                    ,41619,DECEMBER BILLING    ,5,51934,55281.5,4266,41795.67089,7450,51934,Images\AR_1_219202_7450.pdf,
1,207343,Holland America Cruise Li,41617,NOVEMBER BILLING    ,4,74866.98,74924,7117.78,41795.67089,9738,74866.98,Images\AR_1_207343_9738.pdf,
1,207343,Holland America Cruise Li,41617,DECEMBER BILLING    ,4,12072,12072,1146.84,41795.67089,9365,12072,Images\AR_1_207343_9365.pdf,
1,207343,Holland America Cruise Li,41617,DECEMBER BILLING    ,4,3678,3678,349.42,41795.67089,8286,3678,Images\AR_1_207343_8286.pdf,
1,208463,JONES LANG LASALLE       ,41662,JAN REBILL W/ TAX   ,4,8968,8968,851.96,41795.67089,1573,8968,Images\AR_1_208463_1573.pdf,
1,201291,Aronson Security Group   ,41689,JAN BILLING         ,4,57654.3,67837.6,63.94,41795.67089,8492,57654.3,Images\AR_1_201291_8492.pdf,
1,207683,Holder Construction Group,41654,JAN BILLING         ,3,34350,314104.28,0.87,41795.67089,6425,34350,Images\AR_1_207683_6425.pdf,
1,212715,PCL Construction Services,41668,JANUARY BILLING     ,6,300737.7,316566,30073.78,41795.67089,8803,300737.7,Images\AR_1_212715_8803.pdf,
1,212715,PCL Construction Services,41669,JANUARY BILLING     ,6,155641.5,164272,15605.84,41795.67089,5058,155641.5,Images\AR_1_212715_5058.pdf,
1,218846,Wireless Concepts        ,41685,CREDIT AND REBILL   ,6,15307.76,14906.7,1571.36,41795.67089,4817,15307.76,Images\AR_1_218846_4817.pdf,
1,205352,ENVIRO MECHANICAL        ,41680,FEB BILLING         ,4,12327.68,32752.67,200.32,41795.67089,6448,12327.68,Images\AR_1_205352_6448.pdf,
1,210744,MICROSOFT C/O CBRE       ,41684,FEBRARY BILLING     ,6,37436.29,38032.35,3613.07,41795.67089,7732,37436.29,Images\AR_1_210744_7732.pdf,
1,210607,McKinstry Essention Inc  ,41684,FEB BILLING         ,6,5846.58,15799,44.18,41795.67089,8315,5846.58,Images\AR_1_210607_8315.pdf,
1,210744,MICROSOFT C/O CBRE       ,41706,MARCH BILLING       ,4,97663.5,108515,10308.92,41795.67089,2440,97663.5,Images\AR_1_210744_2440.pdf,
1,217372,Turner Construction      ,41691,FEBRUARY BILLING    ,4,18846.1,31859.5,1039.54,41795.67089,2438,18846.1,Images\AR_1_217372_2438.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96048402        ,4,45644.86,45644.86,3605.94,41795.67089,4580,45644.86,Images\AR_1_211389_4580.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96048409        ,4,45559.98,45559.98,3599.24,41795.67089,778,45559.98,Images\AR_1_211389_778.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96048421        ,4,42362.9,42386.48,3348.54,41795.67089,8445,42362.9,Images\AR_1_211389_8445.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96151781        ,4,2278.24,4726,373.36,41795.67089,4880,2278.24,Images\AR_1_211389_4880.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96131926        ,4,29404.9,30016,2371.26,41795.67089,7168,29404.9,Images\AR_1_211389_7168.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96135277        ,4,51320.02,52206,4124.28,41795.67089,7706,51320.02,Images\AR_1_211389_7706.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 95955613        ,4,37144.46,37508,2963.14,41795.67089,7917,37144.46,Images\AR_1_211389_7917.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96098715        ,4,81669.96,82362,6506.6,41795.67089,3743,81669.96,Images\AR_1_211389_3743.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 96135230        ,4,20563.9,21222,1676.54,41795.67089,4146,20563.9,Images\AR_1_211389_4146.pdf,
1,215904,Skanska USA Bldg OR Divis,41695,FEB BILLING         ,4,4801.74,15971.2,823.12,41795.67089,9496,4801.74,Images\AR_1_215904_9496.pdf,
1,204989,Disney Connected and Adva,41698,FEB BILLING         ,4,120000,120000,11400,41795.67089,8954,120000,Images\AR_1_204989_8954.pdf,
1,219352,Disney Facility Services ,41698,FEB BILLING         ,4,349297.78,351621.2,33404.02,41795.67089,2957,349297.78,Images\AR_1_219352_2957.pdf,
1,211389,Microsoft Corporation    ,41697,PO# 95891851        ,4,19212.08,20974.08,1992.54,41795.67089,4485,19212.08,Images\AR_1_211389_4485.pdf,
