"Company"|"InvoiceNumber"|"CustGroup"|"Customer"|"CustomerName"|"TransactionDate"|"InvoiceDescription"|"DetailLineCount"|"AmountDue"|"OriginalAmount"|"Tax"
"1"|"       293"|"1"|"215905"|"Skanska USA Bldg WA Divis"|"2/10/2014 12:00:00 AM"|"RETENTION BILLING   "|"1"|"1682.10"|"0.00"|"0.00"
"1"|"       792"|"1"|"202782"|"CB Richard Ellis         "|"6/25/2014 12:00:00 AM"|"                    "|"2"|"-1354.83"|"-1354.83"|"-117.54"
"1"|"       796"|"1"|"202782"|"CB Richard Ellis         "|"6/25/2014 12:00:00 AM"|"                    "|"2"|"-2207.29"|"-2207.29"|"-191.50"
"1"|"       801"|"1"|"202782"|"CB Richard Ellis         "|"6/25/2014 12:00:00 AM"|"                    "|"2"|"-4118.94"|"-4118.94"|"-357.35"
"1"|"       925"|"1"|"210635"|"MEDALIST MARKETING INC   "|"2/4/2014 12:00:00 AM"|"                    "|"1"|"352.86"|"0.00"|"0.00"
"1"|"      1011"|"1"|"208904"|"Jones Lang LaSalle       "|"2/26/2013 12:00:00 AM"|"                    "|"1"|"1037.24"|"0.00"|"0.00"
"1"|"      1116"|"1"|"204294"|"Cummins Northwest, Inc   "|"2/19/2014 12:00:00 AM"|"                    "|"1"|"-1616.30"|"0.00"|"0.00"
"1"|"      1314"|"1"|"204122"|"Connecqtive, Inc         "|"6/6/2014 12:00:00 AM"|"RENT                "|"1"|"200.00"|"200.00"|"0.00"
"1"|"      1575"|"1"|"201375"|"Avista Corporation       "|"2/20/2013 12:00:00 AM"|"                    "|"1"|"-266.10"|"0.00"|"0.00"
"1"|"      1856"|"1"|"219433"|"Julie Drinkward          "|"3/14/2014 12:00:00 AM"|"                    "|"1"|"-568.17"|"0.00"|"0.00"
"1"|"      2292"|"1"|"213133"|"Pacific Medical Center   "|"2/8/2013 12:00:00 AM"|"                    "|"1"|"-1314.00"|"0.00"|"0.00"
"1"|"      2642"|"1"|"221190"|"Mobilitie                "|"4/1/2014 12:00:00 AM"|"APRIL BILLING       "|"1"|"30000.00"|"30000.00"|"0.00"
"1"|"      4763"|"1"|"219257"|"Franciscan Health Systems"|"4/25/2014 12:00:00 AM"|"                    "|"1"|"-158.43"|"0.00"|"0.00"
"1"|"      4857"|"1"|"203777"|"Granum Inc               "|"3/28/2013 12:00:00 AM"|"                    "|"2"|"-190.04"|"-190.04"|"-16.49"
