z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord,Values
51507,60001,7.00,6.25,,0.75,056-5000-6,,, -   ,,Alden,Alden,IL,McHenry,0,1,
84138,60002,7.00,6.25,,0.75,049-5000-6,,, -   ,,Old Mill Creek,Antioch,IL,Lake,0,0,
51508,60002,7.00,6.25,,0.75,049-5000-6,,, -   ,,Antioch,Antioch,IL,Lake,0,1,
84139,60002,7.00,6.25,,0.75,049-5000-6,,, -   ,,Wadsworth,Antioch,IL,Lake,0,0,
51509,60004,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0003-6, -   ,,Arlington Heights,Arlington Heights,IL,Cook,0,1,
51511,60005,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0003-6, -   ,,Arlington Heights,Arlington Heights,IL,Cook,0,1,
51513,60006,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0003-6, -   ,,Arlington Heights,Arlington Heights,IL,Cook,0,1,
51515,60007,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0140-7, -   ,,Elk Grove Village,Elk Grove Village,IL,Cook,0,1,
51518,60008,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0137-7, -   ,,Rolling Meadows,Rolling Meadows,IL,Cook,0,1,
51521,60009,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0140-7, -   ,,Elk Grove Village,Elk Grove Village,IL,Cook,0,1,
51529,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Hoffman Estates,Barrington,IL,Lake,0,0,
51525,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Barrington Hills,Barrington,IL,Lake,0,0,
51526,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Deer Park,Barrington,IL,Lake,0,0,
51544,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Fox River Valley Gardens,Barrington,IL,Lake,0,0,
51530,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Inverness,Barrington,IL,Lake,0,0,
51531,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Kildeer,Barrington,IL,Lake,0,0,
51535,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Lake Barrington,Barrington,IL,Lake,0,0,
51536,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Lake Barrington Shores,Barrington,IL,Lake,0,0,
51539,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,North Barrington,Barrington,IL,Lake,0,0,
51527,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Port Barrington,Barrington,IL,Lake,0,0,
51541,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,South Barrington,Barrington,IL,Lake,0,0,
51542,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Timber Lake,Barrington,IL,Lake,0,0,
51543,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Tower Lakes,Barrington,IL,Lake,0,0,
51524,60010,7.00,6.25,,0.75,049-5000-6,,, -   ,,Barrington,Barrington,IL,Lake,0,1,
51548,60011,7.00,6.25,,0.75,049-5000-6,,, -   ,,Barrington,Barrington,IL,Lake,0,1,
51549,60012,7.75,6.25,,0.75,056-5000-6, 0.75 ,056-0007-3, -   ,,Bull Valley,Crystal Lake,IL,McHenry,0,0,
51551,60012,7.75,6.25,,0.75,056-5000-6, 0.75 ,056-0007-3, -   ,,Prairie Grove,Crystal Lake,IL,McHenry,0,0,
51552,60012,7.75,6.25,,0.75,056-5000-6, 0.75 ,056-0007-3, -   ,,Ridgefield,Crystal Lake,IL,McHenry,0,0,
51550,60012,7.75,6.25,,0.75,056-5000-6, 0.75 ,056-0007-3, -   ,,Crystal Lake,Crystal Lake,IL,McHenry,0,1,
51555,60013,7.00,6.25,,0.75,056-5000-6,,, -   ,,Oakwood Hills,Cary,IL,McHenry,0,0,
51553,60013,7.00,6.25,,0.75,056-5000-6,,, -   ,,Trout Valley,Cary,IL,McHenry,0,0,
